Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
1.838656250,0,0,1,1,1,1
1.838685292,0,0,1,0,0,0
1.838854583,0,0,1,1,1,1
1.838883625,0,0,1,0,0,0
1.839052917,0,0,1,1,1,1
1.839082000,0,0,1,0,0,0
1.839251333,0,0,1,1,1,1
1.839280375,0,0,1,0,0,0
1.839449625,0,0,1,1,1,1
1.839478667,0,0,1,0,0,0
1.839647958,0,0,1,1,1,1
1.839677000,0,0,1,0,0,0
1.839846250,0,0,1,1,1,1
1.839875292,0,0,1,0,0,0
1.840044542,0,0,1,1,1,1
1.840073625,0,0,1,0,0,0
1.840242875,0,0,1,1,1,1
1.840271917,0,0,1,0,0,0
1.840441125,0,0,1,1,1,1
1.840470167,0,0,1,0,0,0
1.840639417,0,0,1,1,1,1
1.840668458,0,0,1,0,0,0
1.840837708,0,0,1,1,1,1
1.840866750,0,0,1,0,0,0
1.841036000,0,0,1,1,1,1
1.841065083,0,0,1,0,0,0
1.841234375,0,0,1,1,1,1
1.841263375,0,0,1,1,0,1
1.841263417,0,0,1,0,0,0
1.841432625,0,0,1,1,1,1
1.841461667,0,0,1,0,0,0
1.841630917,0,0,1,1,1,1
1.841659958,0,0,1,0,0,0
1.841829167,0,0,1,1,1,1
1.841858208,0,0,1,0,0,0
1.842027458,0,0,1,1,1,1
1.842056500,0,0,1,0,0,0
1.842225708,0,0,1,1,1,1
1.842254750,0,0,1,0,0,0
1.842424000,0,0,1,1,1,1
1.842453042,0,0,1,0,0,0
1.842622333,0,0,1,1,1,1
1.842651375,0,0,1,0,0,0
1.842820625,0,0,1,1,1,1
1.842849667,0,0,1,0,0,0
1.843018917,0,0,1,1,1,1
1.843047958,0,0,1,0,0,0
1.843217250,0,0,1,1,1,1
1.843246292,0,0,1,0,0,0
1.843415542,0,0,1,1,1,1
1.843444583,0,0,1,0,0,0
1.843613875,0,0,1,1,1,1
1.843642917,0,0,1,0,0,0
1.843812208,0,0,1,1,1,1
1.843841250,0,0,1,0,0,0
1.844010500,0,0,1,1,1,1
1.844039542,0,0,1,0,0,0
1.844208833,0,0,1,1,1,1
1.844237875,0,0,1,0,0,0
1.844407167,0,0,1,1,1,1
1.844436208,0,0,1,0,0,0
1.844605500,0,0,1,1,1,1
1.844634583,0,0,1,0,0,0
1.844803917,0,0,1,1,1,1
1.844832958,0,0,1,0,0,0
1.845002292,0,0,1,1,1,1
1.845031333,0,0,1,0,0,0
1.845200667,0,0,1,1,1,1
1.845229708,0,0,1,0,0,0
1.845399000,0,0,1,1,1,1
1.845428083,0,0,1,0,0,0
1.845597375,0,0,1,1,1,1
1.845626417,0,0,1,0,0,0
1.845795708,0,0,1,1,1,1
1.845824750,0,0,1,0,0,0
1.845994042,0,0,1,1,1,1
1.846023083,0,0,1,0,0,0
1.846192333,0,0,1,1,1,1
1.846221375,0,0,1,0,0,0
1.846390625,0,0,1,1,1,1
1.846419667,0,0,1,0,0,0
1.846588958,0,0,1,1,1,1
1.846618000,0,0,1,0,0,0
1.846787292,0,0,1,1,1,1
1.846816333,0,0,1,0,0,0
1.846985625,0,0,1,1,1,1
1.847014708,0,0,1,0,0,0
1.847183958,0,0,1,0,1,1
1.847184000,0,0,1,1,1,1
1.847213042,0,0,1,0,0,0
1.847382333,0,0,1,1,1,1
1.847411375,0,0,1,0,0,0
1.847580667,0,0,1,1,1,1
1.847609708,0,0,1,0,0,0
1.847779000,0,0,1,1,1,1
1.847808042,0,0,1,0,0,0
1.847977292,0,0,1,1,1,1
1.848006333,0,0,1,0,0,0
1.848175667,0,0,1,1,1,1
1.848204708,0,0,1,0,0,0
1.848374000,0,0,1,1,1,1
1.848403042,0,0,1,0,0,0
1.848572292,0,0,1,1,1,1
1.848601333,0,0,1,0,0,0
1.848770583,0,0,1,1,1,1
1.848799625,0,0,1,0,0,0
1.848968917,0,0,1,1,1,1
1.848997958,0,0,1,0,0,0
1.849167250,0,0,1,1,1,1
1.849196292,0,0,1,0,0,0
1.849365583,0,0,1,1,1,1
1.849394625,0,0,1,0,0,0
1.849563875,0,0,1,1,1,1
